service,property,property_class,property_type
AarhusParkingDataBRUUNS,parkingproperty-1,ParkingVacancy,aarhus_parking
AarhusParkingDataBUSGADEHUSET,parkingproperty-3,ParkingVacancy,aarhus_parking
AarhusParkingDataKALKVAERKSVEJ,parkingproperty-8,ParkingVacancy,aarhus_parking
AarhusParkingDataMAGASIN,parkingproperty-7,ParkingVacancy,aarhus_parking
AarhusParkingDataNORREPORT,parkingproperty-2,ParkingVacancy,aarhus_parking
AarhusParkingDataSALLING,parkingproperty-6,ParkingVacancy,aarhus_parking
AarhusParkingDataSCANDCENTER,parkingproperty-5,ParkingVacancy,aarhus_parking
AarhusParkingDataSKOLEBAKKEN,parkingproperty-4,ParkingVacancy,aarhus_parking
AarhusPollutionData158324,Property-bb6fa643-d98b-415c-8525-3c988da75536,API,air_pollution
AarhusPollutionData158355,Property-fc82184a-9722-4a1a-b2d8-0d0831869180,API,air_pollution
AarhusPollutionData158386,Property-bdcfbfb4-69df-4ac8-b592-8c934110cf17,API,air_pollution
AarhusPollutionData158415,Property-04defafc-1c39-448b-b13d-afcfe937cc72,API,air_pollution
AarhusPollutionData158446,Property-37bdebcb-6a96-4952-ac3b-1e9f5f4b5f10,API,air_pollution
AarhusPollutionData158475,Property-1dbf47aa-2d40-466c-8d23-023a5e225ab0,API,air_pollution
AarhusPollutionData158505,Property-e4501818-7eaa-4ec4-a11f-513c20eb58b0,API,air_pollution
AarhusPollutionData158536,Property-7007facc-5ce1-42c9-84b6-a6492706a750,API,air_pollution
AarhusPollutionData158565,Property-5082f47b-e90b-41f9-a0d6-59a9e5194223,API,air_pollution
AarhusPollutionData158595,Property-494e62f2-406c-44da-abe0-b52304a480da,API,air_pollution
AarhusPollutionData158624,Property-cd6b1158-7126-4dd8-90a7-c7ace6c36b99,API,air_pollution
AarhusPollutionData158655,Property-a7f156fc-702c-42e0-b8ed-28248e995356,API,air_pollution
AarhusPollutionData158684,Property-51c2b3b9-c04c-4a5c-8d15-9ceec8b39de1,API,air_pollution
AarhusPollutionData158715,Property-a22d9b17-a946-4d06-8d5b-e84faeaa57cf,API,air_pollution
AarhusPollutionData158744,Property-e8e48fa5-1d90-449d-9a1f-a2804ac7bda1,API,air_pollution
AarhusPollutionData158776,Property-7c0d01d8-375b-4ca3-9249-3ab2b35e35e3,API,air_pollution
AarhusPollutionData158805,Property-29bf89c2-b94b-4c07-ad26-6f76be71ca02,API,air_pollution
